priority_rank,cohort_month,rfm_segment,priority_tier,recommended_journey,buyers,target_customers,repeat_buyers,repeat_buyer_rate,completed_orders,merchandise_gmv,target_customer_gmv,average_customer_gmv,average_recency_days,average_review_score,cohort_buyer_share,cohort_gmv_share,observable_followup_months,targeting_eligible,evaluation_eligible
,2017-09,champions,3,vip_advocacy,34,34,34,1.0,82,7960.45,7960.45,234.13088235294117,99.5,4.568627450980393,0.008491508491508492,0.01296792270786067,11,False,True
,2017-09,loyal,2,loyalty_reinforcement,45,45,45,1.0,102,11943.73,11943.73,265.4162222222222,190.11111111111111,4.095061728395062,0.011238761238761238,0.019456860790979996,11,False,True
,2017-08,champions,3,vip_advocacy,36,36,36,1.0,92,13735.42,13735.42,381.5394444444444,93.5,4.470833333333333,0.008873551885629776,0.02425682992547509,12,False,True
,2017-08,loyal,2,loyalty_reinforcement,45,45,45,1.0,98,10608.61,10608.61,235.7468888888889,201.9111111111111,4.2310606060606055,0.01109193985703722,0.01873486566233099,12,False,True
,2017-07,champions,3,vip_advocacy,37,37,37,1.0,91,11771.25,11771.25,318.1418918918919,82.35135135135135,4.480630630630631,0.009861407249466951,0.02398690441868887,13,False,True
,2017-07,loyal,2,loyalty_reinforcement,33,33,33,1.0,66,7479.4800000000005,7479.4800000000005,226.6509090909091,197.6060606060606,4.348484848484849,0.008795309168443496,0.015241335615291073,13,False,True
,2017-06,champions,3,vip_advocacy,32,32,32,1.0,84,12078.84,12078.84,377.46375,95.6875,4.138020833333333,0.010536713862364174,0.02780783804191182,14,False,True
,2017-06,loyal,2,loyalty_reinforcement,26,26,26,1.0,53,4924.16,4924.16,189.39076923076922,207.46153846153845,4.5,0.008561080013170892,0.011336373672675563,14,False,True
,2017-05,champions,3,vip_advocacy,31,31,31,1.0,78,8811.19,8811.19,284.231935483871,94.12903225806451,4.408602150537634,0.008982903506230079,0.017534402189080422,15,False,True
,2017-05,loyal,2,loyalty_reinforcement,27,27,27,1.0,58,6808.79,6808.79,252.1774074074074,183.37037037037038,4.104938271604938,0.007823819182845552,0.013549595716468363,15,False,True
,2017-04,champions,3,vip_advocacy,10,10,10,1.0,20,3530.35,3530.35,353.03499999999997,85.9,4.5,0.004432624113475178,0.010043761708321716,16,False,True
